P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:25:08 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:25:13 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:26:02 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:26:06 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E08.00 Energy Compliance Forms.dwg,E08.00,12/22/2025 9:50:54 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\OneDrive - ACIES Engineering\Desktop\A03-01 (E).dwg,Layout1,12/22/2025 9:52:38 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\OneDrive - ACIES Engineering\Desktop\A03-01 (E).dwg,Layout2,12/22/2025 9:52:41 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\OneDrive - ACIES Engineering\Desktop\A03-01 (E).dwg,Layout1,12/22/2025 9:55:03 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\OneDrive - ACIES Engineering\Desktop\A03-01 (E).dwg,Layout2,12/22/2025 9:55:06 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-0 -Cover sheet.dwg,E-0,12/22/2025 12:44:32 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-1-Power.dwg,E-1,12/22/2025 12:44:38 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-2-Lighting.dwg,E-2,12/22/2025 12:44:43 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-5 -Schedule and Details.dwg,E-5,12/22/2025 12:44:47 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-6-LTG Details.dwg,E-6,12/22/2025 12:44:52 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
